Analyzing: Layer 9, 8x expansion (K=32)
Directory: /biodata/nyanovsky/datasets/pbmc3k/layer_9/sae_k_32_5120/interpretations_filter_zero_expressed

Feature    | Top Cell Type (r)         | Top Significant GO Terms
------------------------------------------------------------------------------------------------------------------------
299        | CD4 T cells (0.33)        | amino-acid betaine transport (GO:0015838) (GO_Biological_Process_2021) || carnitine transport (GO:0015879) (GO_Biological_Process_2021) || quaternary ammonium group transport (GO:0015697) (GO_Biological_Process_2021)
763        | CD4 T cells (0.32)        | cytosolic large ribosomal subunit (GO:0022625) (GO_Cellular_Component_2021) || large ribosomal subunit (GO:0015934) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021)
4846       | CD14+ Monocytes (0.49)    | cytoskeleton (GO:0005856) (GO_Cellular_Component_2021) || protein serine/threonine/tyrosine kinase activity (GO:0004712) (GO_Molecular_Function_2021) || azurophil granule (GO:0042582) (GO_Cellular_Component_2021)
4401       | CD14+ Monocytes (0.35)    | DNA dealkylation (GO:0035510) (GO_Biological_Process_2021) || DNA dealkylation involved in DNA repair (GO:0006307) (GO_Biological_Process_2021)
891        | CD14+ Monocytes (-0.21)   | RNA binding (GO:0003723) (GO_Molecular_Function_2021) || 5'-3' exonuclease activity (GO:0008409) (GO_Molecular_Function_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021)
4243       | B cells (-0.36)           | telomere maintenance (GO:0000723) (GO_Biological_Process_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || COPI vesicle coat (GO:0030126) (GO_Cellular_Component_2021)
1149       | CD4 T cells (0.42)        | regulation of acetyl-CoA biosynthetic process from pyruvate (GO:0010510) (GO_Biological_Process_2021) || regulation of acyl-CoA biosynthetic process (GO:0050812) (GO_Biological_Process_2021)
3842       | CD14+ Monocytes (0.29)    | U4 snRNA binding (GO:0030621) (GO_Molecular_Function_2021)
3580       | CD4 T cells (0.64)        | carboxylic acid transmembrane transporter activity (GO:0046943) (GO_Molecular_Function_2021) || aromatic amino acid transmembrane transporter activity (GO:0015173) (GO_Molecular_Function_2021) || carboxylic acid transport (GO:0046942) (GO_Biological_Process_2021)
2749       | CD4 T cells (0.32)        | regulation of mRNA catabolic process (GO:0061013) (GO_Biological_Process_2021) || nuclear retention of pre-mRNA at the site of transcription (GO:0071033) (GO_Biological_Process_2021) || regulation of mRNA stability (GO:0043488) (GO_Biological_Process_2021)
2081       | CD14+ Monocytes (0.33)    | anterograde synaptic vesicle transport (GO:0048490) (GO_Biological_Process_2021) || synaptic vesicle transport along microtubule (GO:0099517) (GO_Biological_Process_2021) || rRNA catabolic process (GO:0016075) (GO_Biological_Process_2021)
