Analyzing: Layer 15, 8x expansion (K=32)
Directory: /biodata/nyanovsky/datasets/pbmc3k/layer_15/sae_k_32_5120/interpretations_filter_zero_expressed

Feature    | Top Cell Type (r)         | Top Significant GO Terms
------------------------------------------------------------------------------------------------------------------------
4847       | CD4 T cells (0.77)        | positive regulation of interleukin-4 production (GO:0032753) (GO_Biological_Process_2021) || regulation of interleukin-4 production (GO:0032673) (GO_Biological_Process_2021) || cellular response to tumor necrosis factor (GO:0071356) (GO_Biological_Process_2021)
763        | B cells (0.54)            | regulation of T-helper 2 cell cytokine production (GO:2000551) (GO_Biological_Process_2021)
4846       | CD4 T cells (0.67)        | WW domain binding (GO:0050699) (GO_Molecular_Function_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021)
4401       | NK cells (0.31)           | positive regulation of actin filament polymerization (GO:0030838) (GO_Biological_Process_2021) || regulation of pseudopodium assembly (GO:0031272) (GO_Biological_Process_2021) || positive regulation of pseudopodium assembly (GO:0031274) (GO_Biological_Process_2021)
3349       | CD14+ Monocytes (-0.49)   | nucleus (GO:0005634) (GO_Cellular_Component_2021) || intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || Hrd1p ubiquitin ligase ERAD-L complex (GO:0000839) (GO_Cellular_Component_2021)
2602       | CD4 T cells (0.62)        | regulation of Ras protein signal transduction (GO:0046578) (GO_Biological_Process_2021) || positive regulation of plasma membrane bounded cell projection assembly (GO:0120034) (GO_Biological_Process_2021) || small GTPase binding (GO:0031267) (GO_Molecular_Function_2021)
891        | FCGR3A+ Monocytes (-0.28) | hydroxymethyl-, formyl- and related transferase activity (GO:0016742) (GO_Molecular_Function_2021) || NADP-retinol dehydrogenase activity (GO:0052650) (GO_Molecular_Function_2021)
3551       | CD14+ Monocytes (-0.42)   | purine nucleotide biosynthetic process (GO:0006164) (GO_Biological_Process_2021) || nucleolus (GO:0005730) (GO_Cellular_Component_2021) || Ino80 complex (GO:0031011) (GO_Cellular_Component_2021)
1586       | CD14+ Monocytes (-0.52)   | intracellular membrane-bounded organelle (GO:0043231) (GO_Cellular_Component_2021) || nucleus (GO:0005634) (GO_Cellular_Component_2021) || regulation of myosin-light-chain-phosphatase activity (GO:0035507) (GO_Biological_Process_2021)
3842       | CD14+ Monocytes (0.63)    | cellular response to interferon-gamma (GO:0071346) (GO_Biological_Process_2021) || response to interferon-gamma (GO:0034341) (GO_Biological_Process_2021) || GTP binding (GO:0005525) (GO_Molecular_Function_2021)
3580       | CD4 T cells (-0.73)       | MHC class I protein complex (GO:0042612) (GO_Cellular_Component_2021) || ER to Golgi transport vesicle membrane (GO:0012507) (GO_Cellular_Component_2021) || coated vesicle membrane (GO:0030662) (GO_Cellular_Component_2021)
